,joints,markers
0,[ 9.66545383e-01 -8.56966034e-01  2.04362029e+00 -1.94437184e+00  3.27071466e-04 -1.17082176e+00  1.64696013e+00  2.52071713e+00 -1.09011793e-01 -1.61388741e-01  9.88840406e-01  7.40461673e-01 -5.99491775e-01  1.87700250e+00 -1.11045329e+00  1.00380163e+00  2.28786548e+00  0.00000000e+00  0.00000000e+00],"[[-1.8412635   2.22621393  1.58426529]
 [-3.06954874  1.67314009  1.80922059]]"
1,[ 3.14521619 -0.31346462  0.48754795 -1.68277715 -0.2941132   2.48626901  0.91209515  2.09856279 -0.59608462  1.77442267  1.15397634  1.13700994 -2.94597269  1.22851574  1.26001374  0.75855247 -0.66837353  0.          0.        ],"[[-3.10269929  1.94174139  2.25064772]
 [-1.95296282  2.68426076  1.69230243]]"
2,[ 0.37451779 -0.77381653  0.85778357  2.63075225  0.9205808   1.07795005 -0.15557105  2.65972807 -0.1364407  -0.31253034 -0.99649125  0.60906303 -1.77291777  0.45153195  2.08024963  0.79045307  0.84070986  0.          0.        ],"[[-1.322485    1.97740395  1.40770179]
 [-3.34106312  1.68665868  2.14653814]]"
3,[ 2.60004995 -0.56712172  1.42968103 -2.12365642  0.31176793 -2.61915834  0.42104581 -1.06502643  0.03536199  0.788887   -2.35473731  0.85777964  0.37599682 -0.45046425  0.10243817  1.05822468  2.13755808  0.          0.        ],"[[-3.71972302  2.22924289  1.91259932]
 [-2.0242904   1.08658564  1.57653685]]"
4,[ 0.47921154 -1.23404947  1.74234372 -2.42302564  0.46307635 -2.67354164  1.00507243 -2.50020036  0.83950374  1.59261446  0.35800308  0.58421941  0.9329614  -1.1695175  -1.25849456  1.15481527 -0.49124665  0.          0.        ],"[[-1.82940595  2.49063183  1.84851487]
 [-3.05671253  1.28118487  1.78353147]]"
5,[-0.47005002 -0.70788884  1.84450166  1.1926285  -0.08320596 -2.62716689 -0.32822652 -2.20304185 -0.53014597  2.30108528  1.56038507  1.0159471   2.24317945  0.14374969  2.07285773 -0.08588599  0.48726127  0.          0.        ],"[[-1.7388211   1.97441129  1.9052407 ]
 [-3.47803426  1.70436603  1.53316877]]"
6,[ 1.99330692 -1.01264164  2.05936068 -2.92675709  1.91335107  2.17793717  1.45722677 -0.72855734  0.70546928 -0.4376593   1.72734083 -0.16983883 -1.40997049 -0.52888959 -1.36486896  1.20694777  0.73811261  0.          0.        ],"[[-3.09588758  1.77971923  0.93269377]
 [-2.1180162   1.24589387  1.79581166]]"
7,[ 3.12563572 -0.7123733   0.87188166  0.26835744  0.42762265 -0.56688025  0.92115177 -1.24946037  1.26657071  2.32633843  1.84313392  1.18312959  1.72472077  0.38619997  2.40624389 -0.4104445   0.02107772  0.          0.        ],"[[-3.42332957  2.1127653   2.02490413]
 [-1.94064496  2.96327528  1.40409611]]"
8,[ 0.30886881 -0.50774851  1.33407014 -2.83281566  0.36853207 -2.48030899  1.24853466 -2.48501354  0.77860724  2.01078282  2.71707864  0.3971691   0.07752822 -1.02031569 -2.94979917 -0.63610796 -0.47041699  0.          0.        ],"[[-1.84435444  2.5108069   1.92622532]
 [-3.61007237  2.23642022  1.59396987]]"
9,[ 2.09773882 -0.36407769  2.10078701  1.4097031  -1.45353789  0.75748706  1.49190443 -1.80333284 -0.48329819  1.27934139  2.07560191  0.031525    1.49293477 -0.98612621  1.48287319  0.77160657  1.61153021  0.          0.        ],"[[-3.59187853  1.98315534  1.66574537]
 [-2.58800573  1.04135702  1.79488916]]"
